Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Reporter;Priority;Status;Resolution;Created;Updated;Original Estimate;Remaining Estimate;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint
Bug;EMAP-317;131969;;As an exisiting User I expect to see the correct reports;pastorim;battacar;Major;Closed;Fixed;08/05/2017 15:36;05/06/2017 10:08;21600;0;EMAP Sprint 26;EMAP Sprint 27;EMAP Sprint 28;;;;;;
Story;EMAP-335;134258;;As a Owner I would like to have an option in the User drop box in the common view to see the Pending Request;olivada;battacar;Major;Closed;Fixed;16/05/2017 16:04;05/06/2017 09:33;28800;7200;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Story;EMAP-383;136208;;As a Tester  I found that the SFA user should not see users of other countries (different than the filter selection);;battacar;Major;To Do;;24/05/2017 15:00;01/06/2017 15:35;;;;;;;;;;;
Bug;EMAP-344;134605;;As a User requesting access, I should not see an empty card with null title if the Information Area does not have any reports.;olivada;pastorim;Major;Closed;Fixed;17/05/2017 16:15;22/05/2017 13:50;3600;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-351;135162;;Is not possible to create animal health links;mazzola;olivada;Major;Closed;Fixed;19/05/2017 11:13;22/05/2017 13:34;;;EMAP Sprint 26;;;;;;;;
Task;EMAP-342;134596;;"Validate if is possible approve or reject access request been a user with  ""Grant Permission"" permission";pastorim;olivada;Major;Closed;Fixed;17/05/2017 15:40;22/05/2017 13:27;3600;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-291;129988;;As developer I want a cleanup of unused methods of SubjectAttributesDao;pastorim;olivada;Major;Closed;Fixed;27/Apr/17 3:02 PM;22/05/2017 12:40;3600;0;EMAP Sprint 25;EMAP Sprint 26;;;;;;;
Story;EMAP-321;132570;;"As a User, when going in ""normal mode"" I only want to see regions that I have access to.";pastorim;Casullop;Major;Closed;Fixed;10/05/2017 09:44;22/05/2017 12:17;10800;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-237;129535;;Create the Information card into the Report;olivada;battacar;Major;Closed;Fixed;26/Apr/17 11:37 AM;15/05/2017 16:21;28800;0;EMAP Sprint 25;;;;;;;;
Story;EMAP-196;126085;;As PO I want a default view for new users;pastorim;olivada;Major;Closed;Fixed;12/Apr/17 4:29 PM;15/05/2017 16:18;10800;0;EMAP Sprint 24;EMAP Sprint 25;;;;;;;
Bug;EMAP-152;122139;;Tab Admin. Edit Permission. Dashboard Group: Create permission is not be able for lower levels.;pastorim;alfonsma;Major;Closed;Fixed;29/03/2017 14:54;15/05/2017 16:16;7200;0;EMAP Sprint 24;EMAP Sprint 25;;;;;;;
Story;EMAP-162;123141;;As a user I would like a better user experience in carousel;olivada;olivada;Major;Closed;Fixed;03/Apr/17 11:47 AM;28/Apr/17 4:56 PM;28800;57600;EMAP Sprint 20;EMAP Sprint 21;EMAP Sprint 22;EMAP Sprint 23;;;;;
Story;EMAP-11;100574;;As area admin I would like to be able to generate roles in order to help in the administration.;;olivada;Major;To Do;;03/Jan/17 1:49 PM;26/Apr/17 11:00 AM;;;;;;;;;;;
Bug;EMAP-139;121495;;Download Tab: salesManagerRole User. The Gerente combobox shows distinct value than Testing;;alfonsma;Major;Closed;Won't Fix;27/03/2017 15:29;24/Apr/17 12:51 PM;;;;;;;;;;;
Story;EMAP-189;125674;;"Change text in carousels to show ""Select information area"" Instead of ""Select all elements in section""";olivada;olivada;Major;Closed;Fixed;11/Apr/17 3:31 PM;24/Apr/17 11:31 AM;600;600;EMAP Sprint 21;EMAP Sprint 22;;;;;;;
Story;EMAP-184;125002;;As owner or grant permission user I would like to receive a email when a request access is genereted to elements on my scope;feandres;olivada;Major;Closed;Fixed;07/Apr/17 3:16 PM;17/Apr/17 5:41 PM;10800;10800;EMAP Sprint 21;;;;;;;;
Story;EMAP-78;107872;;As PO I would like a migration script to insert the necessary data to show all InformationArea in the tree.;olivada;olivada;Major;Closed;Fixed;07/02/2017 10:33;07/Apr/17 5:16 PM;18000;18000;EMAP Sprint 20;;;;;;;;
Story;EMAP-157;122824;;As a user I would like know if is possible to select cards en carousel with one click;;olivada;Major;Closed;Won't Do;31/03/2017 16:55;05/Apr/17 7:41 PM;;;EMAP Sprint 20;;;;;;;;
Story;EMAP-155;122821;;As a user I would like a new column in the request access resume showing the elements without access;perezbon;olivada;Major;Closed;Fixed;31/03/2017 16:49;04/Apr/17 6:17 PM;;;EMAP Sprint 20;;;;;;;;
Bug;EMAP-148;122114;;#�NOMBRE?;;alfonsma;Major;Closed;Won't Fix;29/03/2017 13:21;03/Apr/17 11:06 AM;;;;;;;;;;;
Bug;EMAP-145;121818;;User migrated. Rol AnimalHealthUser. Animal Health Tab is not available. User Luis Gustavo Zito De Moraes – GMORAES – Brazil;;alfonsma;Major;Closed;Won't Fix;28/03/2017 15:37;03/Apr/17 11:05 AM;;;;;;;;;;;
Bug;EMAP-144;121817;;Edit Permissions. User with operationsRole  assigned.   Admin Tab/Reports are not available.    User Luis Gustavo Zito De Moraes – GMORAES – Brazil;;alfonsma;Major;Closed;Won't Fix;28/03/2017 15:37;03/Apr/17 11:04 AM;;;;;;;;;;;
Bug;EMAP-143;121816;;Edit Permissions. User with AdminRole  assigned.   All Tabs are available  . Gustavo de Marchi Bordon – BORDONGU – Brazil y  Gustavo Minoro Ziliotto – ZILIOTTO;;alfonsma;Major;Closed;Won't Fix;28/03/2017 15:36;03/Apr/17 11:04 AM;;;;;;;;;;;
Bug;EMAP-138;121494;;Reports/Current and Older Versions Tab: Migration Reports. Do not show the existing user's reports.;;alfonsma;Major;Closed;Won't Fix;27/03/2017 15:28;03/Apr/17 11:02 AM;;;;;;;;;;;
Bug;EMAP-140;121496;;Download Tab: all Users. Table no has total or % of download. Shows distinct value than Testing.;;alfonsma;Major;Closed;Won't Fix;27/03/2017 15:30;03/Apr/17 11:01 AM;;;;;;;;;;;
Story;EMAP-129;121070;;As user admin I want see the tree expanded, only if one area is present.;olivada;alfonsma;Major;Closed;Fixed;24/03/2017 20:50;03/Apr/17 10:38 AM;7200;7200;EMAP Sprint 19;;;;;;;;
Story;EMAP-46;104485;;As PO I would like the migration of 'Executive Report' Area to ABAC;pastorim;olivada;Major;Closed;Done;23/Jan/17 11:54 AM;10/03/2017 16:44;10800;86400;EMAP Sprint 14;EMAP Sprint 15;EMAP Sprint 16;;;;;;
Story;EMAP-37;102904;;As PO I would like the design and implementation of the migration between SFA current role schema and ABAC.;feandres;olivada;Major;Closed;Fixed;16/Jan/17 11:26 AM;10/03/2017 16:44;10800;57600;EMAP Sprint 12;EMAP Sprint 13;EMAP Sprint 14;EMAP Sprint 15;EMAP Sprint 16;;;;
Story;EMAP-47;104487;;As PO I would like the migration of 'Animal Health' Area to ABAC;feandres;olivada;Major;Closed;Fixed;23/Jan/17 11:56 AM;07/03/2017 15:05;10800;28800;EMAP Sprint 14;EMAP Sprint 15;EMAP Sprint 16;;;;;;
Task;EMAP-93;109549;;As PO I want the rename of table MYRPTS_INFO_AREA_GROUPS to MYRPTS_GROUPS_RELATION;pastorim;olivada;Major;Closed;Fixed;13/02/2017 12:03;17/02/2017 16:36;7200;120;EMAP Sprint 14;;;;;;;;
Story;EMAP-92;109473;;As a PO I would like to use the table MYRPTS_ACCESS_LINK_ELEMENT as relation table ;perezbon;olivada;Major;Closed;Fixed;13/02/2017 10:26;17/02/2017 16:36;18000;18000;EMAP Sprint 14;;;;;;;;
Bug;EMAP-60;105904;;The region combobox may not be filled with the users regions defined in ABAC.;perezbon;olivada;Major;Closed;Fixed;30/Jan/17 11:44 AM;10/02/2017 15:29;14400;14400;EMAP Sprint 12;EMAP Sprint 13;;;;;;;
Story;EMAP-48;104622;;As a developer I want the class logic refactor of the Edit Permission Window;pastorim;olivada;Major;Closed;Done;23/Jan/17 2:07 PM;10/02/2017 15:29;57600;57600;EMAP Sprint 11;EMAP Sprint 12;EMAP Sprint 13;;;;;;
Story;EMAP-40;102964;;As PO I would like the separation of table MY_REPORTS_INFORMATION_AREA  of table MYRPTS_GROUP;perezbon;olivada;Major;Closed;Fixed;16/Jan/17 5:42 PM;06/02/2017 16:43;28800;18000;EMAP Sprint 10;EMAP Sprint 11;EMAP Sprint 12;;;;;;
Bug;EMAP-76;107223;;Subject Attribute queries souldnt include region and the link panel should get elements by product id;feandres;perezbon;Major;Closed;Fixed;03/02/2017 17:04;06/02/2017 16:43;10800;10800;EMAP Sprint 12;;;;;;;;
Story;EMAP-28;101437;;"As a user with role ""Admin"" or ""Operations Role"" I would like to have admin access to all areas.";feandres;olivada;Major;Closed;Fixed;09/Jan/17 11:58 AM;27/Jan/17 4:55 PM;93600;21600;EMAP Sprint 9;EMAP Sprint 10;EMAP Sprint 11;;;;;;
Bug;EMAP-56;105456;;When a permission is changed it does not delete the old permission causing bugs on permission analysis;feandres;feandres;Major;Closed;Fixed;26/Jan/17 12:30 PM;27/Jan/17 4:54 PM;14400;14400;EMAP Sprint 11;;;;;;;;
Story;EMAP-34;101964;;As PO I would like the separation of table MY_REPORTS_ACCESS_LINK of table MYRPTS_SUBJECT_ATTRIBUTE;pastorim;olivada;Major;Closed;Done;11/Jan/17 4:53 PM;27/Jan/17 4:53 PM;28800;28800;EMAP Sprint 10;EMAP Sprint 11;;;;;;;
Story;EMAP-36;102900;;As a admin user I would like a full tree update when a I save a change.;perezbon;olivada;Major;Closed;Done;16/Jan/17 11:18 AM;27/Jan/17 4:53 PM;14400;14400;EMAP Sprint 10;EMAP Sprint 11;;;;;;;
Story;EMAP-27;101436;;As a Admin I would like to export existing Dashboards roles to new permission Schema.;feandres;olivada;Major;Closed;Fixed;09/Jan/17 11:58 AM;27/Jan/17 4:53 PM;18000;21600;EMAP Sprint 9;EMAP Sprint 10;EMAP Sprint 11;;;;;;
Story;EMAP-30;101439;;As a Admin/grant permission user, I would like to see a icon if some child has different permissions than a parent.;perezbon;olivada;Major;Closed;Done;09/Jan/17 11:59 AM;27/Jan/17 4:53 PM;10800;28800;EMAP Sprint 9;EMAP Sprint 10;EMAP Sprint 11;;;;;;
Story;EMAP-21;100587;;Analyze and run test cases of admin permission behavior;pastorim;olivada;Major;Closed;Done;03/Jan/17 1:57 PM;20/Jan/17 4:16 PM;18000;18000;EMAP Sprint 8;EMAP Sprint 9;EMAP Sprint 10;;;;;;
Story;EMAP-16;100579;;As admin/owner user I would like to be the only enable to grant admin/owner permission.;pastorim;olivada;Major;Closed;Done;03/Jan/17 1:51 PM;13/Jan/17 5:06 PM;3600;3600;EMAP Sprint 8;EMAP Sprint 9;;;;;;;
Story;EMAP-20;100586;;As a admin/grant permission user I would like to see selected in the children the same permission than the parent (when applies);pastorim;olivada;Major;Closed;Fixed;03/Jan/17 1:56 PM;06/Jan/17 4:48 PM;7200;7200;EMAP Sprint 8;;;;;;;;
Story;EMAP-15;100578;;As a user I don't want to see the new button when should not be enabled.;feandres;olivada;Major;Closed;Fixed;03/Jan/17 1:50 PM;06/Jan/17 4:46 PM;21600;21600;EMAP Sprint 8;;;;;;;;
Bug;EMAP-23;100589;;In the Dashboards area, when the permission is assigned to a group, the elements are only visible when the ADMIN is selected ;feandres;olivada;Major;Closed;Fixed;03/Jan/17 1:57 PM;06/Jan/17 4:45 PM;10800;10800;EMAP Sprint 8;;;;;;;;
Bug;EMAP-24;100590;;Not in all the cases the changed in permission are reflected when the user login.;feandres;olivada;Major;Closed;Fixed;03/Jan/17 1:58 PM;06/Jan/17 4:44 PM;14400;14400;EMAP Sprint 8;;;;;;;;
Story;EMAP-25;100603;;The source combo should be filled with the groups defined by the user permissions;feandres;olivada;Major;Closed;Done;03/Jan/17 4:48 PM;06/Jan/17 4:44 PM;7200;120;EMAP Sprint 8;;;;;;;;
Story;EMAP-6;92483;;As product owner I would like to see a UML design diagram class of the proposed solution.;;olivada;Major;Closed;Fixed;14/11/2016 14:36;21/11/2016 14:07;;;EMAP Sprint 2;;;;;;;;
Story;EMAP-7;92484;;As product owner I would like to see a UML database diagram of the proposed solution.;;olivada;Major;Closed;Fixed;14/11/2016 14:37;21/11/2016 14:03;;;EMAP Sprint 2;;;;;;;;
Story;EMAP-5;92482;;As a product owner I would like to see a tree interface to select permissions.;;olivada;Major;Closed;Fixed;14/11/2016 14:35;21/11/2016 14:03;;;EMAP Sprint 2;;;;;;;;
Story;EMAP-2;91621;;As product owner i would like see the presentation of at least 2 library/framework for authorization management.;;olivada;Major;Closed;Fixed;09/11/2016 11:31;11/11/2016 17:54;;;EMAP Sprint 1;;;;;;;;
Story;EMAP-3;91623;;As a product owner I want to see a graphic schema of the current user authorization.;;olivada;Major;Closed;Fixed;09/11/2016 11:36;11/11/2016 17:54;;;EMAP Sprint 1;;;;;;;;
Story;EMAP-236;129528;;As a user I would like to have a Shorcut in my Desktop;olivada;battacar;Minor;In Progress;;26/Apr/17 11:24 AM;03/Aug/17 11:18 AM;28800;28800;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Story;EMAP-549;153986;;Verify max value allowed when add new property;pastorim;olivada;Minor;To Do;;02/Aug/17 6:32 PM;03/Aug/17 10:59 AM;14400;14400;EMAP Sprint 35;;;;;;;;
Bug;EMAP-550;153987;;The PDF files download is performed in the actual window;pastorim;olivada;Minor;In Progress;;02/Aug/17 6:38 PM;02/Aug/17 7:14 PM;3600;0;EMAP Sprint 35;;;;;;;;
Bug;EMAP-545;153566;;As a User, after selecting the default region, I'm not able to see my default language selected into MyProfile language combobox.;pastorim;pastorim;Minor;In Progress;;02/Aug/17 1:15 PM;02/Aug/17 6:28 PM;3600;0;EMAP Sprint 35;;;;;;;;
Bug;EMAP-542;148910;;Should not be possible to change default region in request access / MyProfile;pastorim;olivada;Minor;In Progress;;27/07/2017 13:43;31/07/2017 18:11;3600;0;EMAP Sprint 35;;;;;;;;
Bug;EMAP-450;140192;;The database driver is throwing an exeption in log;;olivada;Minor;In Progress;;09/06/2017 10:51;31/07/2017 11:15;18000;18000;EMAP Sprint 35;;;;;;;;
Bug;EMAP-354;135244;;If the User does not have access to any area, the PersonalInfo combobox is empty in the portal and when requests access. Should display Profile and Logout;mazzola;pastorim;Minor;In Progress;;19/05/2017 16:32;28/07/2017 17:45;3600;0;EMAP Sprint 27;EMAP Sprint 28;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35
Bug;EMAP-535;148816;;As a User I do not want to see the Monitoring message and move the confidential to the banner;;battacar;Minor;To Do;;27/07/2017 09:14;28/07/2017 16:29;;;EMAP Sprint 36;;;;;;;;
Bug;EMAP-368;135653;;The search textfield is not filtering Sales Force Effectiveness reports;mazzola;olivada;Minor;In Progress;;22/05/2017 16:45;28/07/2017 13:04;14400;0;EMAP Sprint 35;;;;;;;;
Bug;EMAP-530;148454;;Text search filter is not working for all information area carousels;mazzola;mazzola;Minor;In Progress;;25/07/2017 19:15;27/07/2017 16:28;28800;0;EMAP Sprint 35;;;;;;;;
Story;EMAP-206;68070;;As a user I want to be able to generate remedy tickets from WebApplication;battacar;olivada;Minor;In Progress;;08/06/2016 18:01;27/07/2017 16:04;;;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;;;;;
Task;EMAP-541;148888;;As a User when I enter to request access (new name) see only the report I do not have. ;;battacar;Minor;To Do;;27/07/2017 11:52;27/07/2017 11:52;;;EMAP Sprint 36;;;;;;;;
Epic;EMAP-528;148327;;No Pass;;battacar;Minor;To Do;;25/07/2017 09:47;27/07/2017 11:25;;;;;;;;;;;
Task;EMAP-540;148852;;As a user I would like a different name for the 'Request Access' bottom;;battacar;Minor;To Do;;27/07/2017 10:34;27/07/2017 10:34;;;EMAP Sprint 36;;;;;;;;
Task;EMAP-536;148818;;As a user I do not want to have the Area Filter.;;battacar;Minor;To Do;;27/07/2017 09:17;27/07/2017 09:17;;;EMAP Sprint 36;;;;;;;;
Story;EMAP-208;68338;;As a user I would like to be able to define my default region;;olivada;Minor;Done;Fixed;10/06/2016 11:32;26/07/2017 15:18;28800;0;EMAP Sprint 34;EMAP Sprint 35;;;;;;;
Story;EMAP-299;130306;;As a Owner user I would like to see periodically the use of my reports, and be able to reject the permissions to the inactive users;;battacar;Minor;To Do;;28/Apr/17 3:55 PM;26/07/2017 13:42;;;EMAP Sprint 37;;;;;;;;
Story;EMAP-213;69989;;As a user I would like to see the region names in the correct languages.;olivada;olivada;Minor;To Do;;22/06/2016 14:33;26/07/2017 13:42;;;EMAP Sprint 37;;;;;;;;
Story;EMAP-243;129561;;Create a Help Option into the combobox below the User Name;;battacar;Minor;To Do;;26/Apr/17 12:07 PM;26/07/2017 13:41;0;0;EMAP Sprint 37;;;;;;;;
Story;EMAP-276;129632;;As a user I would like to know if the Report I requested access is available or not;;battacar;Minor;To Do;;26/Apr/17 4:18 PM;26/07/2017 13:40;14400;14400;EMAP Sprint 37;;;;;;;;
Story;EMAP-284;129650;;As a user I would like to have the lenguage selection as a dropbox list instead of radiobuttoms when I create a new report;;battacar;Minor;To Do;;26/Apr/17 4:59 PM;26/07/2017 13:39;;;EMAP Sprint 37;;;;;;;;
Story;EMAP-267;129618;;As a user I would like to search into the CompanyEmployee table when I create a New user for the portal;;battacar;Minor;To Do;;26/Apr/17 3:49 PM;26/07/2017 13:37;28800;28800;EMAP Sprint 37;;;;;;;;
Story;EMAP-54;105371;;"As developer I would like to remove old ""Area"" implementation";;olivada;Minor;To Do;;26/Jan/17 9:45 AM;26/07/2017 13:32;;;EMAP Sprint 37;;;;;;;;
Story;EMAP-217;77206;;As a admin, I would like to send mail using a mail queue;olivada;olivada;Minor;To Do;;08/Aug/16 3:54 PM;26/07/2017 13:31;;;EMAP Sprint 37;;;;;;;;
Story;EMAP-369;135913;;Habilitar el combo de seleccion de Area al crear/editar un CARD;;Casullop;Minor;To Do;;23/05/2017 13:23;26/07/2017 13:21;28800;28800;EMAP Sprint 37;;;;;;;;
Story;EMAP-185;125396;;As user I would like to see the a summary of the selected elements;;olivada;Minor;To Do;;10/Apr/17 3:05 PM;26/07/2017 13:16;10800;10800;EMAP Sprint 37;;;;;;;;
Story;EMAP-338;134485;;As a Owner I would like to be able to delegate in a simple way another user my permissons;;battacar;Minor;To Do;;17/05/2017 10:44;26/07/2017 13:15;;;EMAP Sprint 37;;;;;;;;
Story;EMAP-386;136245;;As developer I would like to test InformationAreaWrapperDaoJdbc;pastorim;olivada;Minor;In Progress;;24/05/2017 16:22;26/07/2017 12:02;14400;0;EMAP Sprint 28;EMAP Sprint 34;EMAP Sprint 35;;;;;;
Epic;EMAP-476;141975;;V3.0.1;;olivada;Minor;To Do;;16/06/2017 14:41;26/07/2017 11:42;;;;;;;;;;;
Story;EMAP-526;148201;;As user I would like to a functionality document;;olivada;Minor;To Do;;24/07/2017 13:46;26/07/2017 11:19;32400;32400;EMAP Sprint 36;;;;;;;;
Story;EMAP-278;129637;;As Owner  I would like to receive remeinder email with pending requests;;battacar;Minor;To Do;;26/Apr/17 4:34 PM;26/07/2017 11:17;14400;14400;EMAP Sprint 36;;;;;;;;
Story;EMAP-385;136244;;As developer I would like to test InformationAreaWrapperService;;olivada;Minor;To Do;;24/05/2017 16:22;26/07/2017 11:15;21600;21600;EMAP Sprint 28;EMAP Sprint 34;EMAP Sprint 36;;;;;;
Task;EMAP-531;148572;;As a User When I click Save the New Report, the card should be closed once is saved. The user should not close it by it self;;battacar;Minor;To Do;;26/07/2017 09:53;26/07/2017 09:53;;;EMAP Sprint 36;;;;;;;;
Story;EMAP-221;103884;;As a PO I would like to register when the user close the window of a report;olivada;olivada;Minor;In Review;;19/Jan/17 1:41 PM;25/07/2017 10:27;7200;0;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;;;
Story;EMAP-256;129597;;As a user I would like to see the correct Look and feel when I create a New user;olivada;battacar;Minor;Done;Fixed;26/Apr/17 2:43 PM;25/07/2017 09:55;7200;0;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;;;
Story;EMAP-523;148166;;As developer I would like AccessLinkDaoJdbcTest using in memory database;;olivada;Minor;To Do;;24/07/2017 12:08;24/07/2017 15:52;54000;54000;EMAP Sprint 36;;;;;;;;
Story;EMAP-273;129626;;As a developer i need to add the junits methods of the Subject Attributes Dao;olivada;battacar;Minor;To Do;;26/Apr/17 3:58 PM;24/07/2017 15:50;28800;28800;EMAP Sprint 25;EMAP Sprint 28;EMAP Sprint 33;EMAP Sprint 36;;;;;
Epic;EMAP-527;148229;;This includes all task related to application documentation ;;olivada;Minor;To Do;;24/07/2017 15:21;24/07/2017 15:21;;;;;;;;;;;
Story;EMAP-442;139235;;As developer I would like the area creation does not need code changes;;olivada;Minor;To Do;;06/06/2017 11:33;24/07/2017 13:52;57600;57600;EMAP Sprint 36;;;;;;;;
Story;EMAP-233;128880;;As PO I would like to see documentation of how  ABAC works in the application;mazzola;olivada;Minor;To Do;;24/Apr/17 12:52 PM;24/07/2017 13:51;86400;57600;EMAP Sprint 36;;;;;;;;
Bug;EMAP-417;137908;;Executive Report elements are not showing up in permission tree after migration for the AdminRole user;;mazzola;Minor;To Do;;31/05/2017 19:12;24/07/2017 13:50;18000;18000;EMAP Sprint 36;;;;;;;;
Epic;EMAP-200;127069;;As developer I want all database JUnit using in memory database;;olivada;Minor;To Do;;18/Apr/17 1:17 PM;24/07/2017 12:08;86400;86400;EMAP Sprint 32;EMAP Sprint 36;;;;;;;
Story;EMAP-391;136268;;As user I would like to merge behavior between ApprovalAccessRequestPortalWindow and ApprovalAccessRequestView class;;olivada;Minor;To Do;;24/05/2017 17:25;24/07/2017 12:06;18000;18000;EMAP Sprint 36;;;;;;;;
Story;EMAP-117;118618;;As developer I want a clean up of code;;olivada;Minor;To Do;;16/03/2017 13:56;24/07/2017 11:45;7200;7200;EMAP Sprint 20;EMAP Sprint 36;;;;;;;
Story;EMAP-298;130303;;As a user I will like to be able to select if I want or not that the portal Log my use;;battacar;Minor;To Do;;28/Apr/17 3:49 PM;24/07/2017 11:20;43200;43200;EMAP Sprint 36;;;;;;;;
Bug;EMAP-497;144263;;As admin I can't grant owner access to a group for a localAdmin SFA user;mazzola;mazzola;Minor;In Review;;23/06/2017 17:35;24/07/2017 11:17;14400;0;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Task;EMAP-493;143928;;Deploying to UT and PR;mazzola;mazzola;Minor;Done;Done;22/06/2017 11:10;24/07/2017 11:17;18000;0;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Bug;EMAP-454;140237;;In UT and IT is not possible create new information areas;olivada;olivada;Minor;Done;Fixed;09/06/2017 11:50;24/07/2017 11:17;1800;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;
Bug;EMAP-429;138367;;Carousels and information area combobox should refresh after creation of a new group from Permission Tree;pastorim;mazzola;Minor;Done;Fixed;02/06/2017 10:15;24/07/2017 11:17;1800;0;EMAP Sprint 28;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;
Bug;EMAP-431;138387;;'Sales Force Effectiveness' option should not be listed in information area combobox when a user doesn't have permission to access that area;mazzola;mazzola;Minor;Done;Fixed;02/06/2017 10:46;24/07/2017 11:17;1800;1800;EMAP Sprint 28;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;
Story;EMAP-457;140280;;As user I would like new redirection land page from bila to myreports;olivada;olivada;Minor;Done;Fixed;09/06/2017 16:01;24/07/2017 11:17;10800;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;
Story;EMAP-427;138226;;"As user with creation permission I don't want to see the option ""Create group of links""";pastorim;olivada;Minor;Done;Fixed;01/06/2017 18:37;24/07/2017 11:17;3600;0;EMAP Sprint 28;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;
Story;EMAP-423;138212;;As an Owner I would like to be able to see the Usage Stadistic into my personal options;pastorim;battacar;Minor;Done;Fixed;01/06/2017 15:45;24/07/2017 11:16;1800;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;
Story;EMAP-324;132979;;As admin I would like to be able to define SFA regional owners;mazzola;olivada;Minor;In Progress;;11/05/2017 09:55;24/07/2017 11:16;18000;0;EMAP Sprint 34;EMAP Sprint 35;;;;;;;
Story;EMAP-270;129623;;a developer I need to erase Mobile Clases;;battacar;Minor;In Review;;26/Apr/17 3:56 PM;24/07/2017 11:16;3600;0;EMAP Sprint 34;EMAP Sprint 35;;;;;;;
Sub-task;EMAP-490;142970;137496;Add edit and remove buttons to Executive Reports cards ;pastorim;mazzola;Minor;Closed;Fixed;19/06/2017 19:04;24/07/2017 11:15;3600;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-486;142966;137496;Refactor Executive Reports daos and services  ;pastorim;mazzola;Minor;Closed;Fixed;19/06/2017 19:00;24/07/2017 11:14;21600;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-488;142968;137496;Add condition for getting the report source before downloading;pastorim;mazzola;Minor;Closed;Fixed;19/06/2017 19:02;24/07/2017 11:14;7200;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-501;145913;137496;Remove old references to Executive Reports;;olivada;Minor;Closed;Fixed;12/07/2017 11:54;24/07/2017 11:14;14400;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-502;145919;137496;Code review;mazzola;olivada;Minor;Closed;Fixed;12/07/2017 12:44;24/07/2017 11:13;7200;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-491;143717;137496;Remove plus button in Executive Reports cards when requesting access;pastorim;mazzola;Minor;Closed;Fixed;21/06/2017 16:13;24/07/2017 11:13;3600;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-489;142969;137496;Add new button to Executive Reports carousel when user has permission (action ‘create’ or higher in area) ;pastorim;mazzola;Minor;Closed;Fixed;19/06/2017 19:02;24/07/2017 11:13;7200;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-487;142967;137496;Update Executive Reports JUnits after refactor ;olivada;mazzola;Minor;Closed;Fixed;19/06/2017 19:01;24/07/2017 11:13;18000;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
